"ArticleTitle","Summary","Link","Timestamp","Category","ArticleStory","Label"
"Microbiome startup Xycrobe, J&J partner on inflammatory skin diseases"," Microbiome startup Xycrobe, J&amp;J partner on inflammatory skin diseases 
  slawrence  
 Tue, 08/16/2016 - 13:27 
     
  
  
  
   ","http://www.fiercebiotech.com/biotech/j-j-partners-microbiome-startup-inflammatory-skin-diseases","Tue, 16 Aug 2016 17:27:56 +0000","NA","Microbiome startup Xycrobe, J&J partner on inflammatory skin diseases | FierceBiotechJohnson & Johnson ($JNJ) has partnered with a microbiome startup in its JLABS San Diego incubator to develop treatments for inflammatory skin diseases. The company, Xycrobe Therapeutics, has been at the incubator since 2014.

The partners plan to apply Xycrobe s tech, which includes a library of bacterial strains that have a symbiotic relationship living on human skin. The La Jolla, CA-based company has developed several strains of these commensal skin bacteria that could reduce skin inflammation, including in diseases including acne, psoriasis, dermatitis and eczema.

Interestingly, the deal is with J&J s Consumer business, rather than its drug development arm Janssen.

""The current paradigm for treating skin conditions, such as acne, completely disregards the importance of the commensal skin flora. Overuse of antibiotics have led to a higher prevalence of resistant strains of bacteria and along with that comes less efficacy for conventional treatments. So, we are attempting to change that paradigm,"" said Xycrobe founder and CEO Thomas Hitchcock in a statement.

He continued, ""We feel that the key to better treatment solutions for skin disease lies in understanding our body's interaction with the skin microbiome, and how we can leverage this information. 

Xycrobe expects to pursue programs related to various skin issues including hair loss and toenail fungus, but its initial focus is on these inflammatory skin diseases.

Johnson & Johnson has been actively pursuing microbiome-based treatments. It has created the Janssen Human Microbiome Institute (JHMI) specifically to pursue such research. It has research centers in Cambridge, MA and Beerse, Belgium.

The pharma has done some deals on the microbiome front including a pair that are both focused on inflammatory bowel disease one with Cambridge, MA-based Vedanta Biosciences and the other with South San Francisco, CA-based Second Genome.

The Vedanta deal, which dates from last year, was Janssen s first to in-license a microbiome therapeutic candidate.

- here is the release

Related Articles:

Vedanta bags $50M to advance multiple microbiome programs into the clinic

Vedanta poaches former Genzyme VP, announces new Cambridge expansion

Johnson & Johnson takes rare gamble on microbiome science of biotech startup","Pharmaceuticals"
"J&J bags a second breakthrough tag for planned depression blockbuster"," J&amp;J bags a second breakthrough tag for planned depression blockbuster 
  slawrence  
 Tue, 08/16/2016 - 11:58 
     
  
  
  
   ","http://www.fiercebiotech.com/biotech/j-j-bags-a-second-breakthrough-tag-for-planned-depression-blockbuster","Tue, 16 Aug 2016 15:58:05 +0000","NA","J&J bags a second breakthrough tag for planned depression blockbuster | FierceBiotechJohnson & Johnson ($JNJ) has received a second breakthrough therapy designation from the FDA for its antidepressant esketamine. It s for an indication of major depressive disorder with imminent risk for suicide; the prior designation is for treatment-resistant depression, which the pharma received in November 2013.

Esketamine could offer another option to treat depression, which is underserved and has seen scant innovation in decades. It s an N-methyl-D-aspartate (NMDA) receptor antagonist--and an isomer of the generic anesthetic and notorious party drug ketamine. The intranasal formulation offers fast-acting benefits, unlike standard oral treatment approaches.

J&J has high expectations for esketamine, which it listed last year among the more than 10 late-stage products that it expects could become blockbusters with over $1 billion in sales. The candidate was the only neurology candidate in this list, all of which the pharma expects could be approved before 2020. Neuroscience is one of J&J s five core therapeutic areas.

 What we found was again spectacular results where patients who were refractory to most antidepressants when they go on esketamine within days, their improvement in mood is dramatic and somewhat unpredictable,  said William Hait, J&J s Janssen Global Head of Research & Development on a conference call in early May describing data on the candidate.  The duration of the effect is much longer than one might have predicted from the half-life of the drug. So very rapid improvement in mood, not the weeks and sometimes even months to take SSRI or tricyclic. So very rapid and long duration. 

Phase III data for the treatment-resistant depression indication is expected in late 2017. The Phase II data to support the breakthrough designation in major depressive disorder with imminent risk for suicide was reported in May at the Society of Biological Psychiatry conference.

Hait added,  The study was done in patients who come to the emergency room, they've attempted suicide or about to attempt and someone rescues them. They get admitted to the hospital for standard treatment plus or minus esketamine. And what we saw again, within days, a dramatic improvement in the mood of these patients and a decrease in suicide ideology. 

Ketamine is already used off-label to treat depression patients, a practice that s increasing according to a recent Leerink note based on interviews with a trio of depression physician specialists.

And J&J is not alone in targeting NMDA for depression. Allergan ($AGN) is also developing intravenous rapastinel, which is in Phase III and oral AGN-241660, which is in Phase II, both of which are NMDA modulators.

The specialists interviewed by Leerink viewed rapastinel and esketamine as the most promising NMDA modulators to treat depression due to Phase II data showing a rapid onset of action and limited psychotomimetic side effects; the latter is an issue with off-label ketamine use.

- here is the release

Related Articles:

NIH team claims a breakthrough in ketamine depression research

Naurex bags an $80M round for PhIII study of an NMDA drug for depression

Cerecor raises $16M for PhII study of 'Special K' depression remedy","Pharmaceuticals"
"GSK, Roche, Novo back I/O startup Tioma in $86M Series A"," GSK, Roche, Novo back I/O startup Tioma in $86M Series A 
  slawrence  
 Tue, 08/16/2016 - 09:57 
     
  
  
  
   ","http://www.fiercebiotech.com/biotech/gsk-roche-novo-back-i-o-startup-tioma-86m-series-a","Tue, 16 Aug 2016 13:57:31 +0000","NA","GSK, Roche, Novo back I/O startup Tioma in $86M Series A | FierceBiotechTioma Therapeutics plans to use part of the massive infusion of cash from its Series A round to jump into the Bay Area from St. Louis, MO. The addition of a Brisbane, CA headquarters was sparked by the hire of experienced biotech exec John Donovan to head the company.

Donovan s last endeavor, viral disease play Alios BioPharma, was sold to Johnson & Johnson ($JNJ) for about $1.75 billion near the end of 2014. He founded that company and served as its CBO and CFO. Donovan remained with J&J through the end of 2015. He started out as a Wall Street banker, before transitioning to the corporate side with a job at InterMune prior to its acquisition by Roche ($RHHBY).

Tioma started out as Vasculox in 2006 and until now has survived on some small seed rounds. It plans to use its $86 million Series A to advance it lead candidate, an anti-CD47 immune checkpoint inhibitor, through advanced proof-of-concept clinical trials.

The financing attracted a trio of strategic players: It was co-led by RiverVest Venture Partners, Novo Ventures, Roche Venture Fund and GlaxoSmithKline s ($GSK) corporate venture arm S.R. One.

 We find CD47 to be an extremely interesting target in the evolving cancer immunotherapy landscape,  said Novo Ventures Partner Peter Moldt in a statement.  Tioma Therapeutics, with its portfolio of diverse, functionally heterogeneous antibodies, is well positioned to test the CD47 hypothesis in the clinic. 

Tioma aims to treat solid and hematologic cancers. The startup expects that its anti-CD47 antibody approach could have the potential to promote two different aspects of the immune system: the innate and the adaptive immune response. The innate response is an initial, non-specific defense mechanism that is activated by the chemical properties of an antigen, but the adaptive immune response is antigen-specific and, therefore, more complex.

The company counts William Frazier, a professor of Biochemistry, Molecular Biophysics, Cell Biology, and Biomedical Engineering at Washington University School of Medicine, amongst its scientific founders. He was key in the discovery that CD47 is a receptor for thrombospondin-1. Tioma will keep its St. Louis research labs.

- here is the release

Related Articles:

Google backs $75M A round for Stanford's immuno-oncology spinout Forty Seven

Stanford CD47 breakthrough fights tumors in multiple cancers

Forty Seven, fresh from $75M Series A, teams with Medidata to advance into the clinic","Pharmaceuticals"
"CRUK pairs Astex's inhibitor with chemo for bladder cancer trial"," CRUK pairs Astex&#039;s inhibitor with chemo for bladder cancer trial 
  ntaylor  
 Tue, 08/16/2016 - 06:49 
     
  
  
  
   ","http://www.fiercebiotech.com/biotech/cruk-pairs-astex-dnmt-inhibitor-chemo-for-bladder-cancer-combo-trial","Tue, 16 Aug 2016 10:49:12 +0000","NA","CRUK pairs Astex's inhibitor with chemo for bladder cancer trial | FierceBiotechCancer Research UK (CRUK) has kicked off a Phase I/II trial to see if a DNA methyltransferase (DNMT) inhibitor can stop bladder cancers developing resistance to chemotherapy. The study will give Astex Pharmaceuticals  DNMT inhibitor in combination with chemotherapy.

In the first phase of the study, CRUK, working out of its clinical trial unit in Southampton, U.K., will give small doses of the DNMT inhibitor guadecitabine to up to 36 patients with advanced solid tumors. In doing so, CRUK expects to confirm the safety of the drug and identify the most effective dose, setting it up to advance into the second phase of the clinical trial. This second phase represents the critical stage for the program.

CRUK plans to enroll 20 patients with bladder cancer who are scheduled to have three or four cycles of chemotherapy before undergoing surgery. Some of the participants will be randomized to receive this standard-of-care treatment. Another cohort will receive the cycles of chemotherapy plus Astex s experimental DNMT inhibitor guadecitabine, also known as SGI-110. Preclinical research suggests the combination could be more effective than chemotherapy alone.

This line of thinking is underpinned by knowledge of the mechanism of action of guadecitabine and the process that causes bladder cancers to develop resistance to chemotherapy. As DNMTs facilitate epigenetic modifications that researchers have for decades linked to the development of resistance to chemotherapy, CRUK is hoping the inhibition of the process will result in tumors of patients in the guadecitabine arm remaining more susceptible to the standard-of-care treatment.

CRUK is running the trial as part of the Combinations Alliance, an initiative that brings the nonprofit together with the Experimental Cancer Medicine Centres Network and drug developers to see which treatments work well when given together. In this instance, the drug developer is Astex, a biotech run out of Cambridge, U.K. and Pleasanton, CA, that was bought out by Otsuka for $886 million ( 786 million) in 2013.

Astex has advanced guadecitabine furthest down the pipeline as a treatment for blood cancers--in April it teamed with Genentech for an anti-PD-L1 combination study in acute myeloid leukemia--but it has also explored its effect on solid tumors. Many of the solid tumor trials, like the CRUK study, are sponsored by third parties that want to assess the effect of guadecitabine in combination with other drugs in indications such as melanoma and colorectal cancer.

Related Articles:

EU IPOs: Up on '13, down on U.S., CRUK, MedImmune to run lab, Clal sues Hyperion

Otsuka bags Astex cancer drug programs, R&D ops for $886M","Pharmaceuticals"
"Vertex experimental CF PhIII combo trial pulled after weak results"," Vertex experimental CF PhIII combo trial pulled after weak results 
  badams  
 Tue, 08/16/2016 - 06:25 
     
  
  
  
   ","http://www.fiercebiotech.com/biotech/vertex-experimental-cf-phiii-combo-trial-pulled-after-weak-results","Tue, 16 Aug 2016 10:25:04 +0000","NA","Vertex experimental CF PhIII combo trial pulled after weak results | FierceBiotechIn what was widely expected given the warnings from the company in recent months, Vertex ($VRTX) has halted a trial that combined its approved med Kalydeco (ivacaftor) together with its experimental treatment VX-661 in cystic fibrosis (CF).

Other trials for VX-661, its lead pipeline drug, are still ongoing, but it has stopped its combo Phase III study in a small subpopulation of patients with one copy of the F508del mutation and one copy of a mutation that results in minimal CFTR protein function (F508del het/min).

This comes after an independent Data Safety Monitoring Board, which said that the results it had seen did not warrant further tests. Vertex noted that there were not however any safety issues coming out of the study.

The company will push on with other studies for the two meds, though, and said that this week it had just finished enrollment for the study of VX-661 and Kalydeco in people with two copies of the F508del mutation (F508del homozygous).

Another trial, which will enroll people with one copy of the F508del mutation and one copy of a residual function mutation, should also be completed by September, the company said in a statement.

 While we recognize that people with CF with minimal function mutations have a form of the disease that is particularly difficult to treat, we believed it was important to evaluate whether a dual combination of VX-661 and ivacaftor could provide some benefit to these patients given they do not today have a medicine to treat the cause of their disease,  said Jeffrey Chodakewitz, EVP and chief medical officer at Vertex.

 These results suggest that a triple combination regimen may provide this group of people with CF the best chance at obtaining a meaningful benefit and we look forward to beginning the first study of a next-generation corrector together with VX-661 and ivacaftor in this group of patients later this year, pending data from our ongoing Phase I studies in healthy volunteers. 

Vertex said despite this setback, it still expects to submit an NDA to the FDA for a Kalydeco/VX-661 cocktail treatment in the second half of 2017, pending data from its remaining Phase III trials. The NDA will include data from the study in people with minimal function mutations, the company added.

Vertex already has a combo CF treatment on the market in the form of Orkambi (ivacaftor and lumacaftor), which has a U.S. license for CF in patients who have two copies of the F508del mutation (F508del/F508del) in their CFTR gene.

Analysts at Jefferies did not see the dropping of one of the studies as terminal to its CF pipeline, saying in a note to clients,  We believe expectations were low [for this subpopulation], and this does not change our overall positive CF franchise view. 

But Jefferies said that the  (f)ew details in PR or from company discussions make it difficult to have any increased clarity on '661's ultimate likelihood of success in other populations, though timelines for those other Phase IIIs appear intact.

 Vertex is still not disclosing the bar for this interim analysis, so it is difficult to know if any small signals activity were observed, though we believe if there were any lung function benefits worth following up on the study would likely have proceeded to part 2. 

Vertex traded down 3.2% after hours last night when the news was released, having ended the normal day s trading nearly 1% up.

- check out the Vertex release

 - read the Jefferies note (PDF)

Related Articles:

Vertex, Moderna pair to create mRNA cystic fibrosis treatment

FDA shoots down Vertex's latest bid for Kalydeco expansion","Pharmaceuticals"
"Sorrento subsidiary Scintilla to go it alone with $200M pain biotech buy"," Sorrento subsidiary Scintilla to go it alone with $200M pain biotech buy 
  badams  
 Tue, 08/16/2016 - 04:19 
     
  
  
  
   ","http://www.fiercebiotech.com/biotech/sorrento-subsidiary-scintilla-to-go-it-alone-200m-pain-biotech-buy","Tue, 16 Aug 2016 08:19:30 +0000","NA","Sorrento subsidiary Scintilla to go it alone with $200M pain biotech buy | FierceBiotechSorrento s ($SRNE) subsidiary Scintilla Pharmaceuticals has snapped up back pain specialist Semnur a week after announcing a similar deal to acquire another pain biotech, SCILEX, in a move that will see the firm become its own standalone company.

The California-based Scintilla, which has been wholly owned by the biosimilar and oncology biotech Sorrento, is buying into Scintilla's lead program: a nonopiate epidural steroid injectable to treat chronic back pain that is slated to start Phase III trials next year.

This dovetails with Scintilla s own lead program resiniferatoxin (a.k.a. RTX), which is being tested in patients with intractable cancer pain, and is set for Phase II tests starting in 2017.

The merger deal sees Scintilla pay out $60 million upfront to Semnur s equity holders--which will be made up of $40 million in cash and $20 million in shares of common stock of Sorrento.

There will also be an extra cash boost worth up to $140 million from Scintilla to Semnur's equity holders, should its drug hit certain sales and development targets in the coming years.

This also comes after Scintilla penned a deal to acquire Malvern, PA-based SCILEX Pharmaceuticals just last week, whose lead product is for the chronic pain that can come with shingles.

When both deals are formally closed, Scintilla said it will then:  Operate as a standalone company focused on pain management,  with  key members  of Semnur s management team set to take a seat on Scintilla s existing executive table.

Dr. Henry Ji, president and CEO of Sorrento, said:  Upon completion of the pending acquisitions and integrations of Semnur and SCILEX, Scintilla will immediately become a truly unique pain management company with a multiple product pipeline and an experienced management team led by Jaisim Shah from Semnur and Anthony Mack from SCILEX. 

 The acquisition by Scintilla reflects the strength of Semnur's technology, IP and tremendous potential of our lead product candidate,  added Mahendra Shah, executive chairman of Semnur Pharmaceuticals, and MD of Vivo Capital.

 We are excited to join Scintilla and be a part of such a dynamic company that will be a major player in the pain management space. 

Related Articles:

On a roll, small cap Sorrento snaps up ex-Celgene CMO

Sorrento launches another joint venture with a $170M cancer deal","Pharmaceuticals"
"Biotech CEO confidence returns, but deal landscape still seen as bleak"," Biotech CEO confidence returns, but deal landscape still seen as bleak 
  badams  
 Tue, 08/16/2016 - 03:43 
     
  
  
  
   ","http://www.fiercebiotech.com/biotech/biotech-ceo-confidence-returns-but-deal-landscape-still-seen-as-bleak","Tue, 16 Aug 2016 07:43:18 +0000","NA","Biotech CEO confidence returns, but deal landscape still seen as bleak | FierceBiotechA small snapshot survey of biotech chiefs during the second quarter has shown that their confidence to be able to raise funds has doubled since Q1, but they are a little shakier on deals and partnerships.

The report, coming out from Kineticos--in partnership with Ipsos Healthcare and Demy-Colton--asked 51 biotech CEOs across small and large cap companies how healthy their sector felt in Q2 when compared to the previous quarter.

The answer sheet came back positive on the money side, with CEOs marking the  very confident  box when it came to raising capital in the public market, jumping from a lowly 18% marking the same box in Q1 to a healthier 39% three months later.

And 98% of CEOs said they are either  very confident  (53%) or  somewhat confident  (45%) in their companies and the overall industry.

While deal values and deal competition remained stable, those labeling the overall deal landscape as  good  declined for a third straight quarter (45% in Q1 to 35% in Q2).

When it comes to the regulatory side of things, confidence is slowly rising, although it could only really go up after only 22% of surveyed CEOs said back in Q1 that they were  very confident  in the regulatory environment. In the second quarter, this had edged up to 31%.

On top of this, 75% said they expect the frequency in FDA approvals over the next 18-month period to remain stable.

But when it comes to CEOs planning to partner externally, Q2 saw a decrease in confidence (70% to 65%)--although this remains significantly higher than those planning to market their meds on their own (just 12%).

What s the biggest threat to biotech s future? Unsurprisingly, more than half (57%) of chiefs asked said the largest risk to their business remains getting enough money in to keep going, and comes after several biotechs such as the Cambridge, MA-based cancer company Bind have filed for bankruptcy in the past quarter.

This concern was much higher than the risk of poor clinical results, which was the biggest concern for only 14%.

When asked about the Q2 results, Steve Girling, president of Ipsos Healthcare said:  After a year of surveying biotech CEOs who are leading development stage companies, we've found that early exuberance about the flow of available funds has been replaced by a broader confidence in the potential to bring new assets to market.

 The upcoming U.S. election is likely to have a material impact on the industry, so it will be fascinating to see whether, and how quickly this influences CEO confidence. 

Related Articles:

Biogen CEO George Scangos to step down

Pharma CEOs highest-paid execs in U.S., with biotech in the lead","Pharmaceuticals"
"On a roll, small cap Sorrento snaps up ex-Celgene CMO"," On a roll, small cap Sorrento snaps up ex-Celgene CMO 
  slawrence  
 Mon, 08/15/2016 - 12:09 
     
  
  
  
   ","http://www.fiercebiotech.com/biotech/a-roll-small-cap-sorrento-snaps-up-ex-celgene-cmo","Mon, 15 Aug 2016 16:09:23 +0000","NA","On a roll, small cap Sorrento snaps up ex-Celgene CMO | FierceBiotechSorrento Therapeutics ($SRNE) has had a busy summer. It raised $150 million, an impressive feat given that its market cap is just around $450 million. And it did a couple of deals a CAR-T development joint venture with 3SBio and a partnership with Servier to develop a preclinical anti-PD-1 monoclonal antibody.

Now, Sorrento has brought on a former Celgene ($CELG) Chief Medical Officer Dr. Jerome Zeldis as CMO and President of Clinical Development. He was with the biopharma for almost 20 years, most recently under the joint title of CEO of Celgene Global Health and CMO.

""Sorrento has an impressive portfolio of unique assets that I believe will clearly differentiate themselves in addressing unmet medical needs in a multitude of markets,  Zeldis said in a statement.  I greatly look forward to joining the team that is growing Sorrento into a leading biopharmaceutical company and using my experience to build a world-class clinical and regulatory organization for the efficient, high-quality clinical development of Sorrento's cutting-edge immunotherapies.""

At Celgene, he oversaw clinical trial development of Celgene molecules. He was the Associate Director of Clinical Research at Sandoz Research Institute and the Director of Medical Development at Janssen Pharmaceutical Research Institute prior to his position with Celgene.

Zeldis was already quite active amongst smaller biopharmas; he is the board chairman at Alliqua, Semorex, and Trek Therapeutics, as well as vice chairman at MetaStat. He also serves on the boards of Kalytera Therapeutics, BioSig Technologies, IR Biosciences Holdings, PTC Therapeutics, and Soligenix.

""His expertise and track record in highly successful drug development will be invaluable to progress the clinical development of our program pipeline towards FDA approval and commercialization,  said Sorrento President and CEO Dr. Henry Ji.

He continued,  Jerry's appointment highlights our focus on investing in clinical development and our steadfast commitment to Sorrento shareholders following the recent $150 million private placement led by Ally Bridge Group completed in June of this year.""

In May, Sorrento had been subject to criticism from activist investor Wildcat Capital Management for its prolific creations of subsidiaries and joint ventures which the investor was concerned is resulting in significant expenditures without offering returns.

Wall Street seemed pleased with the addition of Zeldis, sending Sorrento shares up 5% in early trading after the news.

- here is the release

Related Articles:

Sorrento wraps up $150M placement to advance pipeline, partnering plans

Wildcat attempts coup on Sorrento, accuses it of squandering assets

Sorrento nabs PD-1 deal with Servier

Sorrento's biotech buyouts bag CAR-T drugs","Pharmaceuticals"
"Bristol-Myers, Bavarian Nordic to advance Opdivo combo in NSCLC after recent trial failure"," Bristol-Myers, Bavarian Nordic to advance Opdivo combo in NSCLC after recent trial failure 
  slawrence  
 Mon, 08/15/2016 - 10:22 
     
  
  
  
   ","http://www.fiercebiotech.com/biotech/bristol-myers-bavarian-nordic-to-advance-opdivo-combo-nsclc-after-recent-trial-failure","Mon, 15 Aug 2016 14:22:58 +0000","NA","Bristol-Myers, Bavarian Nordic to advance Opdivo combo in NSCLC after recent trial failure | FierceBiotechBristol-Myers Squibb ($BMY) is still reeling from a Phase III trial failure of Opdivo (nivolumab) to treat first-line non-small cell lung cancer (NSCLC)--after losing billions in market cap. Now, it s adding to an existing partnership with Bavarian Nordic to start a Phase II combo trial of Opdivo with Bavarian s cancer vaccine CV301 in previously treated NSCLC.

The pharma has said it is looking to combinations, in particular with another of its immunotherapies, Yervoy (ipilimumab), as a way forward on Opdivo in untreated NSCLC; the relatively low 5% rate of PD-L1 expression used in the trial, as opposed to that used in a similar study of competitor Keytruda (pembrolizumab) from Merck ($MRK), was also widely criticized by industry observers.

Under the new clinical development collaboration with Bavarian Nordic, BMS will supply Opdivo for a Phase II clinical trial in combination with CV301 to treat previously treated NSCLC patients. The Bavarian candidate targets cancer antigens CEA and MUC1 and upregulates PD-L1. The companies hope that the combination, a PD-1 immune checkpoint inhibitor, will offer greater benefit than Opdivo alone.

The trial is slated to enroll about 160 patients and will specifically be in patients with previously treated NSCLC--an indication for which Opdivo is already FDA-approved. Bavarian Nordic retains all rights to CV301, which was originally developed by the National Cancer Institute.

 While we have discussed the potential benefit of combining our cancer vaccines with checkpoint inhibitors for some time, this is now within reach as we have once again been able to strike an agreement with the leading immune-oncology company in the world, this time to explore the potential synergy between our programs to benefit patients with lung cancer,  said Bavarian Nordic President and CEO Paul Chaplin in a statement.

He added,  We look forward to the initiation of this study later this year, 

The initial partnership between Bavarian and Bristol-Myers dates back to March 2015--and is worth up to $1 billion. It s specifically an option deal for the former s Prostvac, a prostate-specific antigen (PSA)-targeting cancer immunotherapy to treat prostate cancer.

At the time of the deal, Prostvac was already in an investigator-sponsored Phase II trial in combination with BMS s Yervoy. The partners planned to do one or more exploratory combination studies of Prostvac with BMS immuno-oncology agents.

- here is the release

Related Articles:

Bristol-Myers forges a billion-dollar cancer vaccine deal with Bavarian Nordic

Merck soars, Bristol-Myers tumbles on Opdivo fail in first-line NSCLC

After ditching its IPO, Bavarian Nordic gains private placing

Bavarian Nordic gears up for PhII RSV trial after bouncing back from IPO setback

Bavarian Nordic quashes talk of interest in a Big Pharma buyout","Pharmaceuticals"
"Troubled tivozanib wedded to Opdivo in new kidney cancer trial"," Troubled tivozanib wedded to Opdivo in new kidney cancer trial 
  badams  
 Mon, 08/15/2016 - 09:27 
     
  
  
  
   ","http://www.fiercebiotech.com/biotech/troubled-tivozanib-wedded-to-opdivo-new-kidney-cancer-trial","Mon, 15 Aug 2016 13:27:01 +0000","NA","Troubled tivozanib wedded to Opdivo in new kidney cancer trial | FierceBiotechNot wanting to allow a $4 million SEC penalty to get them down, Aveo Oncology ($AVEO) is getting right back into the clinic with its multi-failed cancer candidate tivozanib to be used with Bristol s ($BMY) PD-1 immunotherapy med Opdivo (nivolumab).

The two companies will specifically combine both meds in patients with advanced renal cell carcinoma (RCC), a form of kidney cancer, with Bristol-Myers supplying its blockbuster drug for use in the Phase I/II Aveo-sponsored TiNivo trial.

The early-stage test will be assessed with escalating doses of tivozanib with Opvido, and then be followed by an expansion Phase II cohort at an established combination dose.

The trial will be led by the Institut Gustave Roussy in Paris under the direction of Professor Bernard Escudier, chairman of the Genitourinary Oncology Committee.

This will be a much needed positive R&D update for the biotech, which has been beleaguered by problems from its VEGF inhibitor for years.

First up in its history, the FDA shot down its hoped-for approval in renal cell carcinoma, calling its pivotal data ""uninterpretable"" and leading the biotech to lay off more than half of its staff. Then, in December 2013, Astellas and Aveo further dashed hopes for the VEGF blocker by revealing that it was unlikely to meet its primary endpoint in a study on colorectal cancer.

Finally, in early 2014, the two shut down a Phase II study on tivozanib in breast cancer when it failed to enroll enough patients, which looked to have closed the book on the drug's last potential indication.

All of this saw Aveo, now known as Aveo Oncology, badly hit, losing Biogen ($BIIB) and then Astellas as research partners before falling into penny-stock territory and being forced to make a series of job cuts.

But the company is, doggedly, still seeking a reprieve for tivozanib, and in December its shares shot up by 27% after it announced a European licensing pact for the drug. It is also continuing with a trial of the drug as a monotherapy.

Remarkably, however, it got worse when the SEC handed down a $4 million penalty in March of this year. The fine came while seeking to ban three of its former execs from leading any company ever again after allegedly misleading investors on the safety of tivozanib.

The SEC, via a court in Boston, alleges that Aveo deliberately withheld the fact that the FDA had deep concerns about the drug in its public statements in 2012 and 2013, and failed to tell investors that the regulator wanted a second clinical trial to address concerns about the patient death rate during the first study.

The firm never did undertake that second trial and it was left to the FDA--which rejected the drug three years ago--to tell the public about its concerns, promptly sending the firm's stock price down by 31%.

Aveo raised $53 million in a public offering of its stock in January 2013--all while failing to disclose that the FDA staff had explicitly recommended a second study for tivozanib, according to the SEC.

BMS, too, has hit a recent R&D snag with its seemingly all-conquering Opdivo, which already has a license to treat advanced RCC patients in a second-line setting.

The drug was looking to bump itself up the pathway in non-small cell lung cancer, but this month flubbed a key late-stage trial, hampering its chances of a first-line setting in the disease. Both will hope to have better luck with their combined approach to kidney cancer.

 The introduction of immunotherapies has greatly improved outcomes in renal cell carcinoma, and combination therapy is the obvious next step in advancing treatment,  said Professor Escudier.

Dr. Michael Needle, chief medical officer of Aveo, added:  This study has the potential to unlock a more effective, better tolerated new treatment approach in RCC. We appreciate Bristol-Myers Squibb s support for this study, and we look forward to working with Dr. Escudier and his team to fully understand this potential. 

Aveo ended Q2 with $39.5 million in cash, according to its latest financials posted this month.

Related Articles:

Astellas finally bails on Aveo, giving up on the thrice-failed tivozanib

Aveo shares plunge after FDA review raises fears of tivozanib rejection

Merck soars, Bristol-Myers tumbles on Opdivo fail in first-line NSCLC","Pharmaceuticals"
