,ArticleTitle,Summary,Link,Timestamp,Category,ArticleStory,Label,PredictedLabels,Keywords,ArticleSummary
0,USDA: Half of consumers' food budgets spent on convenience," The findings suggest&nbsp;just how far manufacturers need to consider going when incorporating convenience into their product formulations, packaging and marketing messages. ",http://www.fooddive.com/news/usda-half-of-consumers-food-budgets-spent-on-convenience/423610/,"Mon, 01 Aug 2016 08:06:35 -0400",,"USDA: Half of consumers' food budgets spent on convenienceDetermining the best ways to improve convenience will be key to snagging a larger share of the average household food budget. Consumers dedicated about half of their household food budget to the most convenient foods purchased from fast-food and sit-down restaurants during the study's time frame.

Ready-to-cook and ready-to-eat meals and snacks comprised more than one-quarter (26%) of the average household food budget between 1999 and 2010, according to the report. And with the continued growth of snacking and demand for convenience since then, it's likely that percentage is even higher today.

RTE meals and snacks saw their portion of the average household food budget begin to increase across all geographic regions in 2007. RTC products' share of that budget remained fairly constant, USDA reported.

This shows how far manufacturers need to consider going to incorporate convenience into product formulations, packaging and marketing messages. RTC products are still desirable to consumers, but RTE products are where more growth opportunities lie. This includes segments like RTE snacks and liquid meal replacements, the latter of which are becoming increasingly preferred for morning meals when consumers are often on the go.

In terms of grocery store items, the convenience of the product and packaging itself seems to be more important than its advertising. USDA found that advertising investments significantly impacted fast food demand, but had little effect on RTE meals and snacks and other convenient foods.

U.S. Department of Agriculture: U.S. Households  Demand for Convenience Foods (summary) 

 U.S. Department of Agriculture: U.S. Households' Demand for Convenience Foods (full report)",FNB,FNB,"advertising investments significantly impacted fast food demand,average household food budget begin,average household food budget,budget remained fairly constant,household food budget,food budgets spent,findings suggest&nbsp,grocery store items,liquid meal replacements,growth opportunities lie,convenient foods purchased,convenient foods,continued growth,households  demand,rte meals,time frame,morning meals,higher today,increasingly preferred,ready-to-eat meals,rtc products,geographic regions,advertising,includes segments,marketing messages,rte products,convenience foods,product formulations,incorporating convenience,incorporate convenience,improve convenience,rte snacks,full report","Ready-to-cook and ready-to-eat meals and snacks comprised more than one-quarter (26%) of the average household food budget between 1999 and 2010, according to the report. This shows how far manufacturers need to consider going to incorporate convenience into product formulations, packaging and marketing messages."
1,How Hershey's new 'snackfection' could impact the industry," It's all about &quot;sticky innovation&quot; that &quot;allows you then to expand even across brands because you&rsquo;ve identified a need state that is really important,&quot; CEO John Bilbrey said on a recent earnings call. ",http://www.fooddive.com/news/how-hersheys-new-snackfection-could-impact-the-industry/423606/,"Mon, 01 Aug 2016 07:22:43 -0400",,"How Hershey's new 'snackfection' could impact the industryThe commitment to ""snackfection"" and consumers' demands for more complex textures has already been apparent in Hershey's acquisitive growth in addition to internal innovation investments.

Earlier this year, Hershey announced its acquisition of barkTHINS, a premium snacking chocolate brand that combines chocolate with ingredients like almonds, coconut and pretzels. In time for last year's holiday season, Hershey also launched Hershey's Kisses Deluxe, which added complexity to conventional Hershey's Kisses by incorporating a hazelnut center and rice crisps in the chocolate.

It's notable that Hershey has teased its upcoming ""significant innovation"" in the realm of snackfection well before its anticipated fourth-quarter launch.

The early announcement of new products can have mixed results. Campbell and Keurig announced a partnership to create Campbell's soup K-Cups about two years before the product actually debuted, when growth for single-serve beverages was surging. But Campbell ended up discontinuing the product less than a year later, in part because consumer sentiment toward the perceived wastefulness of single-serve packaging had begun to take hold by the time the product finally launched.

On the other hand, pre-merger Kraft Foods announced in April 2015 that it would remove artificial colors and flavors from its iconic Kraft Macaroni and Cheese brand. It did not re-announce the product's actual debut in stores, choosing instead to quietly release the reformulated product in December. It wasn't until March that Kraft Heinz announced it had released the new version of the product to stores, undetected by consumers or the media.

The key for Hershey's success with this new innovation will rely on just how relevant and broadly impacting a trend like snackfection might be. Considering separately the fast growth of snack foods and the continued growth of indulgent products like chocolate, the combination of the two segments could have the desired flavor and texture impact and figurative stickiness Hershey is after.

Food Business News: 'Significant innovation' to launch from Hershey later this year",FNB,FNB,"pre-merger kraft foods announced,premium snacking chocolate brand,iconic kraft macaroni,kraft heinz announced,ceo john bilbrey,remove artificial colors,recent earnings call,food business news,internal innovation investments,anticipated fourth-quarter launch,figurative stickiness hershey,product finally launched,sticky innovation&quot,cheese brand,snack foods,keurig announced,hershey announced,significant innovation,single-serve beverages,added complexity,quietly release,early announcement,combines chocolate,industrythe commitment,single-serve packaging,rice crisps,complex textures,desired flavor,hazelnut center,holiday season,ve identified,broadly impacting,mixed results,soup k-cups,actual debut,perceived wastefulness,consumer sentiment,launched hershey,acquisitive growth,fast growth,continued growth,create campbell,campbell ended,indulgent products,kisses deluxe,reformulated product,conventional hershey,texture impact,innovation,launch,chocolate,growth","But Campbell ended up discontinuing the product less than a year later, in part because consumer sentiment toward the perceived wastefulness of single-serve packaging had begun to take hold by the time the product finally launched. It did not re-announce the product's actual debut in stores, choosing instead to quietly release the reformulated product in December."
2,"Crafty, natural and convenient: How spirits are keeping on trend"," These spirited innovations have included better-for-you ingredients, exotic flavors and aromas, easy preparation, authenticity&nbsp;and&nbsp;portable packaging. ",http://www.fooddive.com/news/crafty-natural-and-convenient-how-spirits-are-keeping-on-trend/423603/,"Mon, 01 Aug 2016 06:39:18 -0400",,"Crafty, natural and convenient: How spirits are keeping on trendReports released this year by the Distilled Spirits Council and Technavio both confirm that the spirits segment is growing at a faster clip than beer and wine. Part of the reason is health-related, because consumers may feel more control over sugar and calorie content by being able to select their mixers. How healthy and natural ingredients are, as well as how products are developed and manufactured, also factor in consumers' spirits purchase decisions, according to Technavio.

Bill Owens, president of American Distilling Institute, told Food Dive last year that the craft spirits industry was growing at about 30% per year. But craft distillers face a number of challenges when attempting to open a distillery, ranging from obtaining zoning permits to acquiring rare distilling equipment, he said.

Still, Owens believes craft spirits will eventually enjoy a similar growth pattern to what craft beer has seen over the past decade. As of 2015, craft beer now comprises about 12% of the overall beer industry in the U.S., according to the Brewers Associaton. The craft spirits industry currently makes up about 1% of the total spirits market, according to Owens.

But these trends are also critical for major players like Diageo and Constellation Brands, which produce both beer and spirit brands, and have to focus innovation investments in the right segments and brands to maintain consumer appeal and relevance. For Constellation, that has included investments in the Mexican beer and craft beer portfolios. For Diageo, that recently led to the first investment by the company's accelerator in a non-alcoholic spirits producer.",FNB,FNB,"acquiring rare distilling equipment,owens believes craft spirits,american distilling institute,similar growth pattern,maintain consumer appeal,told food dive,obtaining zoning permits,craft distillers face,distilled spirits council,spirits purchase decisions,non-alcoholic spirits producer,total spirits market,focus innovation investments,craft spirits industry,craft beer portfolios,craft beer,spirits segment,beer industry,included investments,bill owens,trendreports released,eventually enjoy,easy preparation,recently led,exotic flavors,included better-for-,calorie content,major players,spirited innovations,faster clip,brewers associaton,portable packaging,past decade,mexican beer,spirit brands,authenticity&nbsp,constellation brands,natural ingredients","For Constellation, that has included investments in the Mexican beer and craft beer portfolios. For Diageo, that recently led to the first investment by the company's accelerator in a non-alcoholic spirits producer."
3,Fresher herbs and more convenient cakes win GMA innovation awards," The&nbsp;winning products&nbsp;addressed consumer trends like convenience, freshness and reduced food waste. ",http://www.fooddive.com/news/fresher-herbs-and-more-convenient-cakes-win-gma-innovation-awards/423596/,"Mon, 01 Aug 2016 05:58:11 -0400",,"Fresher herbs and more convenient cakes win GMA innovation awardsBoth innovation-award-winning products for 2016 aligned packaged food with consumer preferences of convenience and freshness.

With the Duncan Hines Perfect Size line, Pinnacle addressed the changing market dynamic of smaller households and consumers' desire to avoid leftovers. By creating smaller portion sizes appropriate for smaller families, Pinnacle contributes to the reduction of food waste on the consumer level. The company also responds to consumers' demand for convenience by providing not only the cake mix, but also icing and cake pan needed to prepare it.

These innovations are crucial for the baking mixes category, which has seen sales tumble in recent years. Simpler ingredients have been one solution that companies, particularly startups, have pursued, but making baking products more convenient and less wasteful was enough to catch GMA's attention.

McCormick also embraced the concept of convenience through its Herb Grinders by combining the utility of packaged food with consumers' desire for the flavor and aroma of fresh herbs. The technical components of the product's mechanism set it apart from other seasoning innovations on the market, which often focus on exotic flavors to entice consumers' palates.

This innovation, along with a recent acquisition of chilled packaged herbs brand Garden Gourmet, has enabled McCormick to better compete with producers of fresh herbs and spices. It also demonstrates how manufacturers can blend the benefits of both fresh and packaged foods to create innovations that resonate with today's consumers.",FNB,FNB,"convenient cakes win gma innovation awardsboth innovation-award-winning products,convenient cakes win gma innovation awards,chilled packaged herbs brand garden gourmet,duncan hines perfect size line,creating smaller portion sizes,making baking products,winning products&nbsp,baking mixes category,2016 aligned packaged food,cake pan needed,reduced food waste,changing market dynamic,addressed consumer trends,catch gma,packaged food,packaged foods,innovation,convenient,food waste,fresher herbs,smaller families,smaller households,cake mix,pinnacle addressed,fresh herbs,consumer preferences,consumer level,technical components,pinnacle contributes,exotic flavors,recent acquisition,herb grinders,sales tumble","Simpler ingredients have been one solution that companies, particularly startups, have pursued, but making baking products more convenient and less wasteful was enough to catch GMA's attention. McCormick also embraced the concept of convenience through its Herb Grinders by combining the utility of packaged food with consumers' desire for the flavor and aroma of fresh herbs."
4,SmartLabel's role in GMO labeling compliance   and industry transparency, A handful of companies have demonstrated &mdash; before President Obama signed&nbsp;the GMO labeling law&nbsp;on Friday &mdash; how the initiative could shape the future. ,http://www.fooddive.com/news/smartlabels-role-in-gmo-labeling-compliance-and-industry-transparency/423595/,"Mon, 01 Aug 2016 05:10:30 -0400",,"SmartLabel's role in GMO labeling compliance   and industry transparencyGMO labeling is officially mandatory, and QR codes could become the new standard on the grocery aisle.

On Friday, the White House announced that President Obama had signed the mandatory GMO labeling bill into law. Congress had passed the bill two weeks before, and the White House had already said it expected the president to sign the bill earlier in the month.

The U.S. Department of Agriculture now has two years to iron out the details of the law, including details surrounding the use of QR codes printed on product packaging as one option for disclosing GMO ingredients. A group of vocal consumers and public health advocates have pushed back against the use of QR codes, saying that electronic disclosure discriminates against demographics without smartphones to scan the codes while in stores.

The Grocery Manufacturers Association s SmartLabel initiative, launched last December, represents one option for QR codes. Several manufacturers have already started using SmartLabel to disclose GMO ingredients and about 360 other product and company attributes. These companies demonstrated   before the law took effect   the role SmartLabel may play in the future of transparency in the food industry.

Because of recent legislation in Congress, SmartLabel has been linked to GMO labeling in the public eye. Did GMA develop SmartLabel specifically for GMO labeling?

""A definitive no,"" said Jim Flannery, GMA s senior executive vice president of operations and industry affairs, and a leader of the SmartLabel project.

""SmartLabel actually started as a board conversation we had about two years ago,"" said Flannery. ""It was very much a food and a non-food conversation around, as industry, we've got a responsibility to address the consumer s growing thirst for knowledge. We have to find a way to get consumers the information they re seeking about the food, beverage and consumer products that they use. It was not any one issue that drove it.""

Taking a step back further, Hershey had conducted early consumer research in 2014 to generate an initial prototype for SmartLabel, Deb Arcoleo, director of product transparency, told Food Dive. Hershey saw SmartLabel as a potential mobile tool for industry transparency, and at that time, GMO labeling ""really wasn t even on our radar,"" Arcoleo said.

""The driver really was a lot of   especially if you look in food   there are a lot of badges and icons and certifications, and packaging starts to look like a Nascar car,"" said Arcoleo. ""Our CEO in particular said, there's so much people want to know about food... The package is just a poor fit for delivering information. That's not what it was intended for.""

""Meanwhile you've got smartphone ownership statistics going up dramatically year over year over year,"" Arcoleo continued. ""Isn't there something better that we can do and couldn't we play a leadership role and get industry to align with us and do something really groundbreaking? That was really the impetus for it.""

As of mid-July, the SmartLabel database contained information on more than 1,200 items from nearly a dozen companies, ranging from major players like Hershey and Campbell, to smaller companies like Naked Bacon and Food for Life.

GMO disclosure was voluntary though that will soon change but all producers on the database had voluntarily provided GMO ingredient disclosure, Flannery said. That s along with a host of other product details. These range from allergens which Flannery says is the most-clicked area on the site to ingredient origin and company details.

GMA conducted member surveys to help predict future adoption of SmartLabel across the industry. When the initiative began, 36 companies signed on to label an estimated 34,000 items in the market by the end of December 2017, Flannery said. Another 48 companies agreed to participate in the program but needed more time to devise an implementation forecast. With those companies, Flannery said a ""conservative"" estimate for participating items will cross the 60,000 threshold into 2018.

But now that SmartLabel may be an acceptable option for mandatory GMO labeling regulations, the adoption rate could increase. Increased demand for transparency could also drive SmartLabel adoption.

As more companies adopt SmartLabel particularly larger manufacturers with many products and SmartLabel s visibility increases, companies that haven t adopted it could ""be at a bit of a disadvantage potentially from a consumer perspective,"" Arcoleo said.

""A consumer might assume, inaccurately maybe, that they re trying to hide something or that they don t want to share all this information, and that might not be the case at all,"" Arcoleo said.

SmartLabel holds promise for smaller natural and organic companies as much as major players, Flannery said.

""There are some interesting companies that have jumped in,"" said Flannery. ""I guess not so surprising, but this is really attractive for the smaller organic businesses. You'll see Food for Life and Naked Bacon in there   those are brands that have a consumer base who really values transparency. They're some of the first brands to participate in SmartLabel.""

One hindrance to SmartLabel is that the program is not free and requires an investment to participate. But Arcoleo noted that printing SmartLabel or an on-packaged statement is still a packaging change with similar costs.

""I think honestly it s going to depend on whether the company sees value in being a full SmartLabel brand program participant, which means agreeing to display that landing page in all of its glory   not just the GMO piece,  said Arcoleo. ""If they see value in that, then I think they will say, 'This is great. We can comply with the federal law, and we can also provide our consumers with a lot of information about our products.'""

In late 2015, Hershey became the first brand to adopt SmartLabel for its Hershey s Holiday Kisses. Without any marketing to support its SmartLabel adoption, as of mid-July, Hershey had seen about 47,000 QR code scans from about 26,000 unique users on the 300 products currently labeled with the QR code in stores, Arcoleo said. Hershey plans to have the entirety of its portfolio labeled with the QR code by the end of 2017.

Campbell sent a shockwave through the industry in January when it became the first major manufacturer to commit to label GMO ingredients across its portfolio, followed by several other manufacturers a few months later. But even though Campbell could use SmartLabel to abide by mandatory GMO labeling regulations, a company spokesperson told Food Dive that Campbell plans to maintain its commitment to printing ""clear and simple language about the presence of GMO ingredients on the labels of all of our U.S. products.""

However, Campbell will still participate in SmartLabel, just not via QR codes. Product information for three items condensed tomato, cream of mushroom and chicken noodle soups is listed on both the product database on SmartLabel.org and the company s own www.whatsinmyfood.com, ""with plans to add more over time,"" the spokesperson said. This represents another option for manufacturers that are grappling with whether to use a QR code or on-package disclosure.

Flannery also applauded Unilever s Hellmann s mayonnaise brand, which goes beyond typical product and ingredient disclosure. It includes details like sourcing of the soy for the product s soy oil ingredient from Iowa and Ontario, Canada.

SmartLabel s role in not just GMO labeling, but transparency across the food and beverage industry, has only just begun. Flannery said that GMA plans to launch broad scale communications to inform consumers about SmartLabel in the latter part of 2017. By then, GMA expects SmartLabel adoption to hit a  critical mass  and will be widespread enough that consumers can easily find the QR codes in stores, Flannery said.",FNB,FNB,"voluntarily provided gmo ingredient disclosure,full smartlabel brand program participant,launch broad scale communications,company spokesperson told food dive,gma conducted member surveys,senior executive vice president,conducted early consumer research,mandatory gmo labeling regulations,gma develop smartlabel specifically,president obama signed&nbsp,mandatory gmo labeling bill,gmo labeling law&nbsp,gma expects smartlabel adoption,smartlabel database contained information,told food dive,smartphone ownership statistics,potential mobile tool,chicken noodle soups,gmo labeling compliance,electronic disclosure discriminates,disclose gmo ingredients,disclosing gmo ingredients,public health advocates,white house announced,soy oil ingredient,including details surrounding,smaller organic businesses,smartlabel holds promise,items condensed tomato,industry transparencygmo labeling,label gmo ingredients,drive smartlabel adoption,predict future adoption,000 qr code scans,qr codes printed,grocery manufacturers association,companies adopt smartlabel,gmo labeling,ingredient disclosure,president obama,gmo disclosure,gmo ingredients,officially mandatory,ingredient origin,white house,gmo piece,on-package disclosure,adoption rate,gma plans,mayonnaise brand,smartlabel adoption,public eye,grocery aisle,qr code,company details,company sees,company attributes,smaller natural,bill earlier,adopt smartlabel,organic companies,qr codes,36 companies signed,smaller companies,product database,similar costs,packaging starts,non-food conversation,growing thirst,step back,000 unique users,board conversation,holiday kisses,critical mass,visibility increases,major players,landing page,most-clicked area,consumer perspective,major manufacturer,consumer base,increased demand,poor fit,recent legislation,implementation forecast,nascar car,disadvantage potentially,on-packaged statement,applauded unilever,pushed back,simple language,naked bacon,initial prototype,includes details,means agreeing,demonstrated &mdash,delivering information,smartlabel project,dozen companies,companies demonstrated,48 companies agreed,interesting companies,federal law,typical product,product details,product packaging,participating items,industry affairs,initiative began,larger manufacturers,product information,values transparency,years ago,smartlabel initiative,friday &mdash,packaging change,easily find,inform consumers,food industry,vocal consumers,leadership role,dramatically year,printing smartlabel,arcoleo noted,deb arcoleo,arcoleo continued,product transparency,industry transparency,acceptable option,role smartlabel,beverage industry,consumer products,jim flannery,gma,spokesperson,portfolio labeled,campbell plans,hershey plans,president,brand,company,signed,bill","SmartLabel's role in GMO labeling compliance   and industry transparencyGMO labeling is officially mandatory, and QR codes could become the new standard on the grocery aisle. Congress had passed the bill two weeks before, and the White House had already said it expected the president to sign the bill earlier in the month."
5,Obama signs mandatory GMO labeling bill, USDA now has&nbsp;two years to iron out the details of the law's requirements. ,http://www.fooddive.com/news/obama-signs-mandatory-gmo-labeling-bill/423562/,"Fri, 29 Jul 2016 17:27:21 -0400",,"Obama signs mandatory GMO labeling billApproval of this bill has been controversial, pitting players across the food industry against each other. But it has also brought opposition from a vocal group of consumers and public health advocates. They believe a QR code is an insufficient labeling method and discriminates against certain demographics who do not have regular access to a smartphone that can scan the QR codes in the store.

As of Thursday morning, more than 100,000 people had signed a White House petition requesting that the president veto the bill. However, Politico called the petition ""too little too late,"" as the White House already said earlier in the month that President Obama would sign the bill. FoodDemocracyNow! said in a statement sent to Food Dive that lawyers representing the organization were mounting a legal challenge for issues including ""its infringement on the 14th amendment of the Constitution that guarantees 'equal protection for all.'""

Earlier this year, before even Vermont's mandatory GMO labeling bill took effect, several companies pledged to label GMO ingredients on product packaging. However, now that a QR code is a legally viable option, it's unclear whether these companies will end up switching from on-package to electronic disclosure.

A spokesperson for Campbell, the first of the wave to make the commitment and a vocal supporter of mandatory GMO labeling, told Food Dive that it would continue printing its GMO ingredients disclosure on its packaging while also listing its products in the Smart Label database.

But several other companies have already been labeling GMO ingredients using the now approved method of a QR code, specifically with the Grocery Manufacturers Association's SmartLabel. That includes Hershey, which helped pioneer it. The company had already seen 47,000 QR code scans on the 300 products that currently bear SmartLabel though it had not yet done any promotion of what SmartLabel is or does, Hershey's director of product transparency Deb Arcoleo told Food Dive.

Associated Press via WTOP: Obama signs bill requiring labeling of GMO foods 

 Agri-Pulse: Obama signs historic GMO labeling bill",FNB,FNB,"product transparency deb arcoleo told food dive,obama signs mandatory gmo labeling bill usda,obama signs mandatory gmo labeling billapproval,obama signs historic gmo labeling bill,obama signs bill requiring labeling,mandatory gmo labeling bill,mandatory gmo labeling,told food dive,white house petition requesting,labeling gmo ingredients,gmo foods 

 agri-pulse,label gmo ingredients,insufficient labeling method,gmo ingredients disclosure,smart label database,legally viable option,grocery manufacturers association,public health advocates,food dive,000 qr code scans,president obama,product packaging,white house,food industry,approved method,electronic disclosure,qr code,qr codes,continue printing,president veto,brought opposition,vocal supporter,thursday morning,equal protection,vocal group,politico called","They believe a QR code is an insufficient labeling method and discriminates against certain demographics who do not have regular access to a smartphone that can scan the QR codes in the store. But several other companies have already been labeling GMO ingredients using the now approved method of a QR code, specifically with the Grocery Manufacturers Association's SmartLabel."
6,What nobody is telling the public about a large sugar recall," Manufacturers may be able to find relief knowing that the FDA abides by corporate confidentiality laws. However, the main problem here is not facing regulators&nbsp;&mdash;&nbsp;it's facing consumers.&nbsp; ",http://www.fooddive.com/news/what-nobody-is-telling-the-public-about-a-large-sugar-recall/423541/,"Fri, 29 Jul 2016 09:29:16 -0400",,"What nobody is telling the public about a large sugar recallManufacturers may be able to find relief knowing that the FDA abides by corporate confidentiality laws. However, the main problem here is not facing regulators   it's facing consumers.

Transparency, especially in cases involving food safety and product recalls, is of utmost importance to consumers today. If a company was recalling a product or ingredient and no one came forward to identify which company it is, how extensive the problem is or how the company is working to fix the problem, the reputations of any companies and regulating bodies involved could be tarnished.

In a statement to Food Safety News, the FDA said, ""We are still gathering information and working to identify other parts of the relevant supply chain and facilitate recalls where necessary. However, FDA is prohibited by law from releasing publicly certain information about supply chains, which may constitute confidential commercial information.""

The questions in this recall are often answered upfront by the company and FDA in news releases made available to the public. That nobody not the sugar supplier itself, the FDA nor the companies that purchase the sugar has come forward to identiifiy the supplier could suggest a larger recall is looming in the near future.",FNB,FNB,"cases involving food safety,constitute confidential commercial information,large sugar recall manufacturers,food safety news,large sugar recallmanufacturers,corporate confidentiality laws,regulating bodies involved,news releases made,find relief knowing,relevant supply chain,facing regulators&nbsp,facing regulators,supply chains,gathering information,larger recall,facing consumers,facilitate recalls,sugar supplier,utmost importance,releasing publicly,answered upfront,consumers today,main problem,product recalls,fda abides","If a company was recalling a product or ingredient and no one came forward to identify which company it is, how extensive the problem is or how the company is working to fix the problem, the reputations of any companies and regulating bodies involved could be tarnished. In a statement to Food Safety News, the FDA said, ""We are still gathering information and working to identify other parts of the relevant supply chain and facilitate recalls where necessary."
7,SABMiller's board recommends approval of AB InBev deal," The deal's final approval is likely as SABMiller shareholders line up to voice their support for AB InBev's increased final offer, Bloomberg reported. ",http://www.fooddive.com/news/sabmillers-board-recommends-approval-of-ab-inbev-deal/423536/,"Fri, 29 Jul 2016 08:51:21 -0400",,"SABMiller's board recommends approval of AB InBev dealShareholders of AB InBev and SABMiller now get their chance to vote on the deal, which is the last step to its completion.

""In reaching its decision, the board has considered the best interests of the company as a whole and has taken into account all salient facts and circumstances. The board has also received extensive shareholder feedback and considered the views of our financial advisers,"" SABMiller Chairman Jan du Plessis said in a statement.

Shareholders remain mixed on how the deal measures up, since the British sterling has dropped significantly following the Brexit vote in June. Some shareholders have said that the deal undervalues the company, whicl others are embracing it.

Advancement of this deal comes at a good time for AB InBev, which is the world's largest brewer. The company reported Friday that overall revenue dropped 2.2% to $10.81 billion in the second quarter. Total beer volumes dipped 1.7%. Not including currency fluctuations, organic revenue inched up 4% on higher pricing strategies. In Brussels trading Friday, shares rose 4.6%.

SABMiller also offers AB InBev critical market access in the Latin American and African regions, which are opportunities for growth as AB InBev has seen sales taper off in the U.S. market.

AB InBev's quarterly net profit seemed to have plunged to $152 million from $1.93 billion a year earlier. But the declining value of the British sterling is at play here, along with one-time finance costs related to the SABMiller deal. However, SABMiller shares trading in London were up 2.1%.

Earlier this week, Anheuser-Busch InBev increased its bid for SABMiller to  45 per share from the original  44 per share bid. But even with the increased bid per share, the total deal value currently sits at about $104 billion, still below the approximately $108 billion value the deal carried back in November. AB InBev also raised the cash portion of its partial-share offer by 88 pence   about $1.15   per share, but that deal had increased in value on its own because AB InBev s shares are based in the euro.

Bloomberg: AB InBev-SABMiller Deal Advances on China, Investor Support 

 Reuters: AB InBev clears China hurdle in SABMiller takeover deal 

 The Wall Street Journal: AB InBev Profit Hit by Foreign-Exchange Charge 

 The Wall Street Journal: SABMiller Board Backs AB InBev s Higher Offer",FNB,FNB,"offers ab inbev critical market access,sabmiller chairman jan du plessis,ab inbev clears china hurdle,sabmiller board backs ab inbev,one-time finance costs related,received extensive shareholder feedback,total beer volumes dipped 1,ab inbev profit hit,ab inbev-sabmiller deal advances,quarterly net profit,ab inbev dealshareholders,wall street journal,including currency fluctuations,brussels trading friday,higher pricing strategies,organic revenue inched,shareholders remain mixed,anheuser-busch inbev increased,ab inbev deal,board recommends approval,deal carried back,investor support 

 reuters,sabmiller shareholders line,sabmiller takeover deal,sabmiller shares trading,company reported friday,increased final offer,ab inbev,final approval,total deal,higher offer,revenue dropped 2,sabmiller deal,partial-share offer,deal measures,deal undervalues,dropped significantly,shares rose 4,salient facts,good time,largest brewer,sales taper,british sterling,bloomberg reported,latin american,cash portion,financial advisers","Earlier this week, Anheuser-Busch InBev increased its bid for SABMiller to  45 per share from the original  44 per share bid. AB InBev also raised the cash portion of its partial-share offer by 88 pence   about $1.15   per share, but that deal had increased in value on its own because AB InBev s shares are based in the euro."
8,Why Nestle opened a digital command center for water brands," Manufacturers are realizing the benefit in being more closely involved with online and offline marketing initiatives &mdash; and in some cases, they are realizing the&nbsp;profits.&nbsp; ",http://www.fooddive.com/news/why-nestle-opened-a-digital-command-center-for-water-brands/423528/,"Fri, 29 Jul 2016 08:34:08 -0400",,"Why Nestle opened a digital command center for water brandsThis is the latest in a move among food and beverage manufacturers to bring more marketing initiatives in-house and to take more control and responsibility over branding and marketing ideation, implementation, analysis and strategy. Traditionally, manufacturers hand those tasks over to agencies.

But manufacturers are realizing the benefit in being more closely involved with online and offline marketing initiatives. In some cases, they are also realizing the profits.

In May, PepsiCo unveiled a content creation studio that other parties can use to generate revenue that can supplement PepsiCo s own marketing spend for its brands. Later that month, Mondelez also announced it would be expanding its in-house marketing efforts to shift away from the more traditional advertising that consumers respond less to today.

Directly engaging with consumers has become increasingly important to brands, even as far as enabling consumers to vote on which products are added or removed from a brand s portfolio. In this case, Nestle is pushing for data analytics as a way to identify and strategize the best approaches for target demographics.

A recent Netbase report revealed how different social media behavior can be based on the brand or product category, and data analytics can help brands develop better consumer engagement strategies.

Adweek: How Nestle Plans to Speed Up Its Marketing by Setting Up Shop In Salesforce's New York Office",FNB,FNB,"recent netbase report revealed,offline marketing initiatives &mdash,offline marketing initiatives,consumer engagement strategies,content creation studio,digital command center,social media behavior,marketing initiatives in-house,in-house marketing efforts,water brands manufacturers,marketing spend,marketing ideation,water brandsthis,directly engaging,supplement pepsico,increasingly important,york office,generate revenue,traditional advertising,manufacturers hand,target demographics,pepsico unveiled,product category,closely involved,data analytics,beverage manufacturers,brands develop,nestle plans,nestle opened,enabling consumers,consumers respond,marketing,manufacturers,brands","A recent Netbase report revealed how different social media behavior can be based on the brand or product category, and data analytics can help brands develop better consumer engagement strategies. Adweek: How Nestle Plans to Speed Up Its Marketing by Setting Up Shop In Salesforce's New York Office"
9,Green Giant makes B&G Foods' sales and profits jolly," The vegetable brand has also awakened sales and profits for the company&nbsp;as a whole, which otherwise would have seen sales declines without its acquisitive growth. ",http://www.fooddive.com/news/green-giant-makes-bg-foods-sales-and-profits-jolly/423524/,"Fri, 29 Jul 2016 08:24:34 -0400",,"Green Giant makes B&G Foods' sales and profits jollyBetween new product innovations and increased marketing spend, B&G Foods has worked to  awaken the Green Giant,  as the company describes the effort internally. This has also awakened sales and profits for B&G Foods as a whole, which otherwise would have seen sales declines without its acquisitive growth.

Part of Green Giant s portfolio is based in frozen vegetables, a subcategory in a larger frozen foods segment that has seen sales tumble in recent years.

But with a renewed focus on pushing the brand forward, Green Giant has a chance to win back the market share it lost to brands like Pinnacle s Birds Eye. By doing so, Green Giant could also make B&G Foods a larger competitor in the processed foods industry.

If B&G continues to  awaken the Green Giant,  the company may more proactively pursue its growth, and revitalize its own business in the process. Cantwell already said late last year that the company would be open to more acquisitions, and other companies, such as ConAgra, may be looking to shed underperforming brands in the near future.

Business Wire: B&G Foods Reports Financial Results for Second Quarter 2016",FNB,FNB,"foods reports financial results,larger frozen foods segment,increased marketing spend,processed foods industry,shed underperforming brands,green giant makes,larger competitor,frozen vegetables,green giant,renewed focus,brand forward,win back,market share,proactively pursue,effort internally,product innovations,recent years,birds eye,vegetable brand,sales declines,sales tumble,awakened sales,acquisitive growth,profits jolly,business wire,company describes,company&nbsp,profits jollybetween","Part of Green Giant s portfolio is based in frozen vegetables, a subcategory in a larger frozen foods segment that has seen sales tumble in recent years. But with a renewed focus on pushing the brand forward, Green Giant has a chance to win back the market share it lost to brands like Pinnacle s Birds Eye."
